Permit Type,Permit No,Issued,Address,Zip Code,Mapsco,Contractor,Value,Area,Work Description,Land Use,Latitude,Longitude,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country
Building (BU) Commercial  New Construction,1705241131,9/15/2017,375 S PRAIRIE CREEK RD,75217,"58-V,58-Z,59-S,59-W","BALDWIN ASSOCIATES (214) 824-7949 3904 ELM STE B, DALLAS, TX 75226",1550000,0,NEW CONSTRUCTION,"PUBLIC PARK, PLAYGROUND, OR GOLF COURSE",32.705592,-96.665682,,S Prairie Creek Rd,,,Dallas,TX,Dallas County,75217,US
Building (BU) Commercial  New Construction,1705241125,10/4/2017,14730 HILLCREST RD,75254,"15-H,16-E","BALDWIN ASSOCIATES (214) 824-7949 3904 ELM STE B, DALLAS, TX 75226",1525000,0,NEW COMMERCIAL CONSTRUCTION,"PUBLIC PARK, PLAYGROUND, OR GOLF COURSE",32.948178,-96.785251,14730,Hillcrest Rd,,,Dallas,TX,Dallas County,75254,US
Building (BU) Commercial  New Construction,1705241116,10/26/2017,3003 SAMUELL BLVD,75223,"46-H,47-A,47-E","THE FAIN GROUP, INC (817) 927-4388 P.O. BOX 750, FORT WORTH, TX 76101",1500000,0,NEW CONSTRUCTION,"PUBLIC PARK, PLAYGROUND, OR GOLF COURSE",32.792819,-96.742746,3003,Samuell Blvd,,,Dallas,TX,Dallas County,75223,US
Building (BU) Commercial  New Construction,1702211036,10/18/2017,3309 DILIDO RD,75228,48-B,"RLI CONSTRUCTION, LLC (281) 216-6400 403 ALEXANDRIA CIR, SOUTHLAKE, TX 76092",1059375,0,NEW COMMERCIAL CONSTRUCTION,CONVALESCENT & NURSING HOMES & RELATED INSTITUTION,32.80527,-96.689944,3309,Dilido Rd,,,Dallas,TX,Dallas County,75228,US
Building (BU) Commercial  New Construction,1609221104,1/5/2017,2895 W COMMERCE ST,75212,43-Q,"JACKA, MICHAEL (574) 271-2921 7121 GRAPE, GRANGER, IN 46530",850000,0,NEW CONSTRUCTION,INDUSTRIAL (OUTSIDE),32.775535,-96.867353,2895,W Commerce St,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1612281114,7/18/2017,5606 WAYSIDE DR,75235,"34-S,34-W","RATCLIFF CONSTRUCTORS, L P (972) 432-9969 4200 BELTWAY DRIVE, ADDISON, TX 75001",664196,0,NEW CONSTRUCTION OF EARLY CHILDHOOD CENTER.,PUBLIC OR PRIVATE SCHOOL,32.814874,-96.851775,5606,Wayside Dr,,,Dallas,TX,Dallas County,75235,US
Building (BU) Commercial  New Construction,1609211073,1/10/2017,1002 SINGLETON BLVD,75212,44-P,"EAGLE LANDSCAPE (214) 475-1563 2013 HOLFORD, GARLAND, TX 75044",500000,0,CREATION OF PRIVATE PARK,"PRIVATE RECREATION CENTER, CLUB OR AREA",32.7775,-96.839244,1002,Singleton Blvd,,,Dallas,TX,Dallas County,75212,US
Building (BU) Commercial  New Construction,1701131006,6/15/2017,11223 LUNA RD,75229,"22-E,22-J","JC COMMERCIAL, INC (972) 436-4622 1801 Lakepointe Drive, Suite 129, LEWISVILLE, TX 75057",400000,0,NEW CONSTRUCTION,"PUBLIC PARK, PLAYGROUND, OR GOLF COURSE",32.890892,-96.921553,11223,Luna Rd,,,Dallas,TX,Dallas County,75229,US
Building (BU) Commercial  New Construction,1610191031,7/26/2017,5850 ELAM RD,75217,"57-P,57-Q,57-T,57-U,57-X,57-Y","SCOTT & REID (469) 374-3400 17300 DALLAS PKWY, SUITE 2000, DALLAS, TX 75248",400000,0,NEW COMMERCIAL CONSTRUCTION,"PUBLIC PARK, PLAYGROUND, OR GOLF COURSE",32.716222,-96.729146,5930,Elam Rd,,,Dallas,TX,Dallas County,75217,US
Building (BU) Commercial  New Construction,1706281073,10/12/2017,4318 MCKINNEY AVE,75205,"35-U,35-V","SLC COMMERCIAL CONSTRUCTION LLC (615) 778-3150 1550 WEST MCEWEN DR STE 200, FRANKLIN, TN 37067",400000,0,CONSTRUCT PARK AREA FOR PRIVATE USE,"PRIVATE RECREATION CENTER, CLUB OR AREA",32.818266,-96.789398,4318,McKinney Ave,,,Dallas,TX,Dallas County,75205,US
