permitnumber,worktype,permittypedescr,description,comments,applicant,declared_valuation,total_fees,issued_date,expiration_date,status,owner,occupancytype,sq_feet,property_id,parcel_id,Latitude,Longitude,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country
ERT549983,ERECT,Erect/New Construction,Erect,Demolish existing structure and erect a new 4-story residential building with 6 units and garage for 6 off street parking spots. (see A761462),18 PREBLE ST LLC,1300000,13321,1/12/2017 10:16, ,Closed,18 PREBLE STREET LLC,Multi,0,112535,700694000,42.32967,-71.05613,18,Preble St,,,South Boston,MA,Suffolk County,2127,US
ERT902280,ERECT,Erect/New Construction,Erect,Erect new 4-unit residential building on 6814;SF vacant land with propose 5 garage parking spaces.10/18/19 AMENDMENT DUE FOR FP INSTALL,19-21 Standard LLC,960000,26873,10/22/2019 10:22,4/22/2020 0:00,Open,19-21  STANDARD STREET  LLC,1-4FAM,4600,439210,1800088000,42.272395,-71.078325,17,Standard St,,,Mattapan,MA,Suffolk County,2126,US
ERT995663,ERECT,Erect/New Construction,Erect,Erect new single family residence,19-21 Standard Street LLC,300000,3080,9/26/2019 16:17,3/26/2020 0:00,Open,19-21  STANDARD STREET  LLC,1-2FAM,1300,437492,1800092000,42.272673,-71.078006,6,Menton St,,,Mattapan,MA,Suffolk County,2126,US
ERT995665,ERECT,Erect/New Construction,Erect,Erect new single family residence,19-21 Standard Street LLC,300000,3050,9/26/2019 16:19,3/26/2020 0:00,Open,19-21  STANDARD STREET  LLC,1-2FAM,1300,437493,1800087000,42.272492,-71.07793,7,Glenmore St,,,Mattapan,MA,Suffolk County,2126,US
ERT598370,ERECT,Erect/New Construction,Erect,Combine 4 existing parcels ... parcel #2012067000 (with 5 711 S.F.) and parcel #2012068000 (with 23 100 S.F.) and parcel #201206901 (with 1 250 S.F.) and parcel #2012093030 (with 19 S.F) into 1 lot of 30 080 S.F.; Erect a;new;Two ( 2 ) Family Dwelling.; This will be one of two ;Two ( 2 ) Family Dwellings located on the same Lot;;In conjunction with ERT598276,42-48 Woodley Avenue LLC,537500,5599,8/9/2017 11:20, ,Closed,42-48 WOODLEY AVENUE CONDOMINIUM TRUST,1-2FAM,4300,420544,2012068000,42.264669,-71.149743,48,Woodley Ave,,,West Roxbury,MA,Suffolk County,2132,US
ERT598276,ERECT,Erect/New Construction,Erect,Combine 4 existing parcels ... parcel #2012067000 (with 5 711 S.F.) and parcel #2012068000 (with 23 100 S.F.) and parcel #201206901 (with 1 250 S.F.) and parcel #2012093030 (with 19 S.F) into 1 lot of 30 080 S.F.; Erect a;new;Two ( 2 ) Family Dwelling.; This will be one of two ;Two ( 2 ) Family Dwellings located on the same Lot;;In conjunction;with ERT598370.,42-48 Woodley Avenuee LLC,537500,5499,8/9/2017 11:16, ,Closed,42-48 WOODLEY AVENUE CONDOMINIUM TRUST,1-2FAM,4300,420543,2012068000,42.264925,-71.14979,44,Woodley Ave,,,West Roxbury,MA,Suffolk County,2132,US
ERT601141,ERECT,Erect/New Construction,Erect,A.O Flats -; New Construction  78 Residential Apartments including 1 Commercial Space and 1 level of below-grade Parking with 42 Spaces.;;The Building is;a 5 story Type 3A Wood Structure over a 3 Hour Rated;Type 1A Concrete and Composite Steel Structure. ( previous;Application ERT399992 has been abandoned ); ;,A.O FLATS AT FOREST HILLS LLC,19790000,199925,10/11/2017 13:20,4/11/2018 0:00,Open,MASS BAY TRANSPORTATION AUTHORITY,VacLd,101758,353924,1905052010,42.297787,-71.115424,93-95,Hyde Park Ave,,,Jamaica Plain,MA,Suffolk County,2130,US
COO800266,NEWCON,Certificate of Occupancy,New construction,Single Family;with Parking for one Vehicle BeneathErt 316037 issued 1/9/15;,Aaron Daigneault,200445,495,2/16/2018 14:32, ,Closed,SCHETTINO JOHN A,1-2FAM,0,172684,101757000,42.387713,-71.006903,22,Breed St,,,East Boston,MA,Suffolk County,2128,US
COO752629,NEWCON,Certificate of Occupancy,New construction,Single Family DwellingERT316048 issued 1/9/2015,Aaron Daigneault,200445,335,9/5/2017 14:26, ,Closed,SCHETTINO JOHN A,1-2FAM,1600,172683,101757000,42.387757,-71.006851,24,Breed St,,,East Boston,MA,Suffolk County,2128,US
COO702039,NEWCON,Certificate of Occupancy,New construction,Single Family DwellingERT316020 issued 3/1/2017,Aaron M Daigneault,200445,35,6/5/2017 11:04, ,Closed,SCHETTINO JOHN A,1-2FAM,1600,172679,101757000,42.387662,-71.007009,20,Ford St,,,East Boston,MA,Suffolk County,2128,US
ERT316020,NEWCON,Erect/New Construction,New construction,Construct single family semi-detached dwelling at 20 Ford Street (lot to contain 2552 square feet of land) with parking for one vehicle to be accessed from the rear; (to be attached to 18 Ford Street) all as shown on plans included herewith.,Aaron M Daigneault,200445,2060,3/1/2017 11:22,9/1/2017 0:00,Closed,SCHETTINO JOHN A,1-2FAM,0,172679,101757000,42.387662,-71.007009,20,Ford St,,,East Boston,MA,Suffolk County,2128,US
COO1003096,ERECT,Certificate of Occupancy,Erect,Three (3) FamilyERT834672; issued: 10/5/18;;;;,Adam Burns,675000,1035,9/23/2019 10:50, ,Closed,BOSTON PINNACLE PROPERTIES  LLC,Comm,0,14039,703454000,42.32474,-71.05997,8,W Bellflower St,,,Dorchester,MA,Suffolk County,2125,US
ERT483519,ERECT,Erect/New Construction,Erect,SP # 12 3-11-2016 to 4-1-2016.Combine Parcel ID # 1400681040 with Parcel I.D. # 1400682010 to equal 8 921 S.F.;and construct;a new building;for Six Residential Units.;;,adam hostetter,950000,51550,4/13/2017 16:09, ,Open,,Multi,0,172897, ,42.307746,-71.078949,41,Oldfields Rd,,,Dorchester,MA,Suffolk County,2121,US
ERT698978,ERECT,Erect/New Construction,Erect,Erect a new two family building with four parking spaces.,Adam Hostetter,800000,8441,5/4/2018 9:10,11/4/2018 0:00,Open,502 EAST THIRD STREET CONDOMINIUM TRUST,1-2FAM,4000,134974,603311000,42.33654,-71.03976,502,E 3rd St,,,South Boston,MA,Suffolk County,2127,US
COO1021481,ERECT,Certificate of Occupancy,Erect,39 Residential Units and Parking Garage.ERT581827 Issued 8/30/17  ERT716028 Issued 8/31/17 &; A951524 Issued 7/11/19,Adam Parker,10906070,1657.7,11/12/2019 10:28, ,Closed,ES JWAY LLC,Other,9508,420580,1001632000,42.325271,-71.112493,221,S Huntington Ave,,,Jamaica Plain,MA,Suffolk County,2130,US
ERT675585,ERECT,Erect/New Construction,Erect,To erect a new 2 family residential building with garage parking on grade as per plans,Adler Bernadin,475000,9625,12/10/2018 12:29,6/10/2019 0:00,Open,8-10 LORING PLACE CONDOMINIUM TRUST,1-2FAM,3307,421354,1810237000,42.247623,-71.121628,10,Loring Pl,,,Hyde Park,MA,Suffolk County,2136,US
ERT672432,ERECT,Erect/New Construction,Erect,The plan includes demolition of existing two family dwelling along with free standing garage and to erect a three level 5 unit townhouse style construction.*AE FLOOD ZONE 10' EL (DEP File No. 006-1602)*Existing structures to be razed on a separate permit.,AGMILTON DESOUZA,1600000,16667,12/27/2018 13:29,6/27/2019 0:00,Closed,ROBERTO LOUIE TS,Multi,5500,421338,106905000,42.375097,-71.039217,,,,,East Boston,MA,Suffolk County,2128,US
ERT915785,ERECT,Erect/New Construction,Erect,New building construction of school 19 511 square feet and 3 stories high. FP and FA,Ahied R Zimo,9000000,93210,11/19/2019 13:56,5/19/2020 0:00,Open,413-419  BREMEN STREET  LLC,Other,0,437622,104196000,42.378264,-71.027812,375,Bremen St,,,East Boston,MA,Suffolk County,2128,US
FND664270,ERECT,Foundation Permit,Erect,Foundation Permit Only in conjunction with ERT664270 pending.; To; construction of a mixed-use building with planned phased occupancy. Building is comprised of a below grade parking garage and 3 high rise residential towers that are interconnected at the ground;floor level.;All associated cost are reflected on ERT664270 paid on 10/3/16. Seaport Square Block;M1 / M2 -;$87 000 000.00 foundation cost.;;;,ahmed nur,0,968,1/19/2017 12:07,7/19/2017 0:00,Open,BOSTON SEAPORT M1&2 LAND LLC,Comm,1012000,420769,602642000,42.350352,-71.043367,147,Seaport Blvd,,,Boston,MA,Suffolk County,2210,US
ERT766946,ERECT,Erect/New Construction,Erect,Erect 22 Level plus 3 below grade levels of Mixed use Development. Total height of the building is 250 feet above grade  3 levels of parking below grade  level 2 has restaurant  A3 residential Amenities.3rd floor to 22nd 116 res identical units ,ahmed nur,176213487,3560148,12/18/2018 10:16, ,Open,150 SEAPORT LLC,Mixed,21760,349861,602671120,42.350714,-71.042804,150,Seaport Blvd,,,Boston,MA,Suffolk County,2210,US
ERT802352,ERECT,Erect/New Construction,Erect,Erect a 5 story multi-family residential building under 9th edition of MSBC  PhaseII Building I of St Gabriel. This is type IIIA construction over a 1 story Podium. This construction consists of rental apartments  128 units  first floor lobby mail room  residential lounge  and in conjunction with building 2&;3 Erect784650 as well as the church and the Monastary ALT786977.,ahmed nur,30187000,305420,5/2/2018 15:43,11/2/2018 0:00,Open,STEWARD  ST  ELIZABETHS,Comm,105199,423688,2101833000,42.34719,-71.145142,161,Washington St,,,Brighton,MA,Suffolk County,2135,US
